MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
6876	0.281481	0.0625214	-0.824031	0.0770314	-0.0721316	0.540838	0.0620981	0.0248105	-0.260656	0.000267545	-0.0004413	-0.000498857	
7126	0.282081	0.0617999	-0.824199	0.0718044	-0.074018	0.543561	0.0620971	0.0249317	-0.26089	0.000497183	-0.000395362	-0.000225923	
7376	0.281036	0.062407	-0.824356	0.087137	-0.0708179	0.550066	0.0621443	0.0246301	-0.261029	0.000370605	-0.00011525	-0.000337498	
7628	0.280658	0.0641633	-0.825311	0.0796709	-0.0693728	0.547261	0.0621422	0.0244685	-0.261238	0.000446884	-0.000363661	-0.000245226	
7876	0.280758	0.0647706	-0.826133	0.0769171	-0.0695183	0.54707	0.0621341	0.0244849	-0.261455	0.000453098	-7.05425e-05	-0.000623163	
8126	0.281621	0.0629276	-0.82526	0.0731458	-0.0691909	0.544114	0.0620954	0.0244395	-0.261656	0.000443784	-0.000215523	-0.000225275	
8376	0.281872	0.0620631	-0.824828	0.0782699	-0.0699374	0.543414	0.0621109	0.0245208	-0.261779	0.00067836	-0.00050415	9.60043e-05	
8626	0.281441	0.0619391	-0.824805	0.0664739	-0.0710782	0.544191	0.0621574	0.0246283	-0.261937	0.000373706	-0.000327917	-0.000257368	
8877	0.28066	0.0631548	-0.823936	0.0698344	-0.071391	0.544723	0.0621408	0.0246629	-0.262111	0.000524368	-0.00042997	-0.000284784	
9126	0.278874	0.0646594	-0.829005	0.0675779	-0.0702819	0.54423	0.0621383	0.0245463	-0.262307	0.000108408	-0.000318925	-0.000277138	
9376	0.28092	0.0623213	-0.824929	0.0721212	-0.0681465	0.548415	0.0622005	0.0244957	-0.262505	0.000565831	-0.000290124	-0.000362992	
9625	0.28178	0.0637758	-0.825218	0.0765082	-0.0698931	0.543037	0.0622008	0.0245151	-0.262711	0.000433019	-0.000332975	-0.000360824	
9877	0.280381	0.0646053	-0.825149	0.0776267	-0.0669921	0.558229	0.062212	0.0242395	-0.262892	0.000192325	-0.000411835	-0.000283597	
10126	0.280876	0.0643129	-0.825952	0.0664919	-0.0637186	0.546081	0.0622289	0.0238775	-0.263035	0.000254001	-0.000380311	-0.000211877	
10376	0.27995	0.0646015	-0.826328	0.0655169	-0.0658686	0.540293	0.0621732	0.0240866	-0.263251	0.000174818	-0.000190072	-0.00043055	
10626	0.279012	0.0646468	-0.826874	0.0751802	-0.0674436	0.54345	0.062142	0.0242647	-0.263475	8.36809e-05	-0.000292531	-0.000415481	
10876	0.280119	0.0629257	-0.826417	0.0663028	-0.0683585	0.545124	0.0620907	0.0243534	-0.263707	0.000493061	-0.000277716	-0.000413268	
11126	0.283386	0.0635455	-0.822864	0.0689887	-0.0658665	0.550267	0.0620532	0.0241058	-0.263869	0.000248646	-0.000132101	-0.000150723	
11376	0.280757	0.0626761	-0.825051	0.0665083	-0.0640116	0.546073	0.0620832	0.02391	-0.264001	4.20861e-05	-0.000591574	-0.000411486	
11626	0.279656	0.063733	-0.824061	0.0630291	-0.0636074	0.543427	0.0620437	0.0238611	-0.26427	9.74477e-05	-9.15675e-05	-0.000319847	
11876	0.281615	0.063186	-0.82463	0.0771866	-0.0628198	0.550591	0.0620525	0.0238056	-0.264489	0.000106167	-0.000486392	-0.000510063	
12125	0.278748	0.0642236	-0.826482	0.0670624	-0.05927	0.551363	0.0620849	0.0234346	-0.264721	-7.31071e-06	-0.000254415	-0.000598246	
12376	0.280906	0.0625708	-0.82632	0.0696652	-0.0576611	0.544458	0.0620903	0.0232589	-0.264895	0.000249814	-0.00040764	-6.02355e-05	
12625	0.281094	0.0616402	-0.825468	0.0693112	-0.0580535	0.543831	0.0620804	0.023261	-0.265069	5.16873e-05	-0.000499501	-0.000195051	
12876	0.279764	0.0617186	-0.823589	0.0742481	-0.0604806	0.544341	0.0620573	0.0235529	-0.265221	0.000422388	-8.5957e-05	-0.000275153	
13126	0.28102	0.0618729	-0.823123	0.0615988	-0.0601528	0.549394	0.062058	0.0234723	-0.265395	0.000157879	-0.000586292	-9.61081e-05	
13375	0.28145	0.0630964	-0.824633	0.067472	-0.0580092	0.545305	0.0620625	0.023298	-0.265566	0.00032546	-0.000359104	-0.000412651	
13626	0.281667	0.0635547	-0.82528	0.0631023	-0.0627217	0.538904	0.0620273	0.0235648	-0.265786	0.000120565	-0.000402454	-0.000280868	
13876	0.280572	0.0639421	-0.826179	0.0720345	-0.0612639	0.547085	0.0619544	0.0236384	-0.265984	0.000243408	-0.00048294	-0.000375177	
14126	0.280944	0.0642932	-0.825011	0.0620119	-0.0637565	0.538093	0.0619428	0.0237906	-0.266213	0.00022221	-0.000171738	-0.000394374	
14376	0.280872	0.0638615	-0.825701	0.0651507	-0.0643554	0.542779	0.0618919	0.0239405	-0.266453	5.47166e-05	-0.000296181	-0.000433456	
14626	0.281393	0.063978	-0.826783	0.0668859	-0.0654439	0.54318	0.0619065	0.0239704	-0.266637	0.00015533	-0.000411455	-0.000485416	
14876	0.28354	0.0636323	-0.826004	0.0682912	-0.0857371	0.547668	0.0612744	0.0236841	-0.266422	0.000612116	-0.000643159	0.00248703	
15126	0.283671	0.0632106	-0.82362	0.0677785	-0.0856702	0.535824	0.0600157	0.0231504	-0.266424	7.67305e-05	-0.000266757	-0.00120904	
15375	0.282962	0.0653452	-0.825419	0.0655531	-0.0776771	0.523312	0.0586649	0.0225475	-0.267544	0.000717597	0.00163099	-0.0122701	
15626	0.279483	0.0663364	-0.823645	0.0750065	-0.0719311	0.511919	0.0576843	0.0221383	-0.272199	-0.00186464	-0.0012122	-0.0205152	
15876	0.276516	0.0684035	-0.815189	0.0818447	-0.07553	0.513227	0.0564427	0.0218187	-0.277398	0.00035203	-0.000817162	-0.0176784	
16126	0.275579	0.0676485	-0.814434	0.0669908	-0.0725115	0.489504	0.0550041	0.021333	-0.283928	-0.000556609	0.00283042	-0.035645	
16376	0.275521	0.0610237	-0.813867	0.0613238	-0.0537988	0.495898	0.0549867	0.0203432	-0.290647	0.00249002	-0.00743126	-0.0118772	
16626	0.277223	0.0545988	-0.811614	-0.027606	-0.0391742	0.530179	0.0566285	0.018373	-0.29568	-0.0124335	-0.033961	-0.0321457	
16876	0.262623	0.0509713	-0.803916	-0.221806	-0.178988	0.603193	0.0654068	0.0306405	-0.302933	0.0715778	0.0103806	-0.0192495	
