MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
21516	0	0.5	1.2	-0.682585	0.219542	0.0658329	0.803722	-0.682585	0	0	0	0	1	0	
21546	0	0.5	1.2	-0.682585	0.219542	0.0658329	0.803722	-0.682585	-0.1	0.1	0.01	0	1	0	
21576	0	0.5	1.2	-0.682585	0.219542	0.0658329	0.803722	-0.682585	-0.1	0.1	0.01	0	1	0	
21606	0	0.5	1.2	-0.682585	0.219542	0.0658329	0.803722	-0.682585	-0.1	0.1	0.01	0	1	0	
21665	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21696	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21756	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21785	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21816	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21845	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21876	0	0.5	1.2	-0.682585	0.223226	0.0786473	0.802131	-0.681494	-0.1	0.1	0.01	0	1	0	
21936	0	0.5	1.2	-0.682585	0.227268	0.0934774	0.797706	-0.680915	-0.1	0.1	0.01	0	1	0	
21966	0	0.5	1.2	-0.682585	0.227268	0.0934774	0.797706	-0.680915	-0.1	0.1	0.01	0	1	0	
21996	0	0.5	1.2	-0.682585	0.227268	0.0934774	0.797706	-0.680915	-0.1	0.1	0.01	0	1	0	
22056	0	0.5	1.2	-0.682585	0.227268	0.0934774	0.797706	-0.680915	-0.1	0.1	0.01	0	1	0	
22086	0	0.5	1.2	-0.682585	0.227268	0.0934774	0.797706	-0.680915	-0.1	0.1	0.01	0	1	0	
22116	0	0.5	1.2	-0.682585	0.227268	0.0934774	0.797706	-0.680915	-0.1	0.1	0.01	0	1	0	
22176	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22206	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22236	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22296	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22326	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22356	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22385	0	0.5	1.2	-0.682585	0.219641	0.139212	0.788271	-0.681993	-0.1	0.1	0.01	0	1	0	
22416	0	0.5	1.2	-0.682585	0.182727	0.198865	0.773418	-0.678041	-0.1	0.1	0.01	0	1	0	
22475	0	0.5	1.2	-0.682585	0.182727	0.198865	0.773418	-0.678041	-0.1	0.1	0.01	0	1	0	
22506	0	0.5	1.2	-0.682585	0.182727	0.198865	0.773418	-0.678041	-0.1	0.1	0.01	0	1	0	
22566	0	0.5	1.2	-0.682585	0.182727	0.198865	0.773418	-0.678041	-0.1	0.1	0.01	0	1	0	
22595	0	0.5	1.2	-0.682585	0.182727	0.198865	0.773418	-0.678041	-0.1	0.1	0.01	0	1	0	
22627	0	0.5	1.2	-0.682585	0.182727	0.198865	0.773418	-0.678041	-0.1	0.1	0.01	0	1	0	
22656	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22686	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22745	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22777	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22806	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22836	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22896	0	0.5	1.2	-0.682585	0.156196	0.258661	0.771018	-0.678082	-0.1	0.1	0.01	0	1	0	
22926	0	0.5	1.2	-0.682585	0.127946	0.317394	0.753055	-0.682861	-0.1	0.1	0.01	0	1	0	
22956	0	0.5	1.2	-0.682585	0.127946	0.317394	0.753055	-0.682861	-0.1	0.1	0.01	0	1	0	
23017	0	0.5	1.2	-0.682585	0.127946	0.317394	0.753055	-0.682861	-0.1	0.1	0.01	0	1	0	
23046	0	0.5	1.2	-0.682585	0.127946	0.317394	0.753055	-0.682861	-0.1	0.1	0.01	0	1	0	
23076	0	0.5	1.2	-0.682585	0.127946	0.317394	0.753055	-0.682861	-0.1	0.1	0.01	0	1	0	
23136	0	0.5	1.2	-0.682585	0.127946	0.317394	0.753055	-0.682861	-0.1	0.1	0.01	0	1	0	
23166	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23195	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23226	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23286	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23316	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23346	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23376	0	0.5	1.2	-0.682585	0.101848	0.396591	0.737672	-0.682932	0	0	0	0	1	0	
23436	0	0.5	1.2	-0.682585	0.0602883	0.473487	0.727091	-0.683008	0	0	0	0	1	0	
23466	0	0.5	1.2	-0.682585	0.0602883	0.473487	0.727091	-0.683008	0	0	0	0	1	0	
23496	0	0.5	1.2	-0.682585	0.0602883	0.473487	0.727091	-0.683008	0	0	0	0	1	0	
23556	0	0.5	1.2	-0.682585	0.0602883	0.473487	0.727091	-0.683008	0	0	0	0	1	0	
23586	0	0.5	1.2	-0.682585	0.0602883	0.473487	0.727091	-0.683008	0	0	0	0	1	0	
23616	0	0.5	1.2	-0.682585	0.0602883	0.473487	0.727091	-0.683008	0	0	0	0	1	0	
23647	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23705	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23736	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23766	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23826	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23856	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23886	0	0.5	1.2	-0.682585	-0.00933237	0.526372	0.730418	-0.67624	0	0	0	0	1	0	
23915	0	0.5	1.2	-0.682585	-0.0224043	0.567291	0.731073	-0.676818	0	0	0	0	1	0	
23976	0	0.5	1.2	-0.682585	-0.0224043	0.567291	0.731073	-0.676818	0	0	0	0	1	0	
24006	0	0.5	1.2	-0.682585	-0.0224043	0.567291	0.731073	-0.676818	0	0	0	0	1	0	
24037	0	0.5	1.2	-0.682585	-0.0224043	0.567291	0.731073	-0.676818	0	0	0	0	1	0	
24096	0	0.5	1.2	-0.682585	-0.0224043	0.567291	0.731073	-0.676818	0	0	0	0	1	0	
24126	0	0.5	1.2	-0.682585	-0.0224043	0.567291	0.731073	-0.676818	0	0	0	0	1	0	
24157	0	0.5	1.2	-0.682585	-0.00356434	0.599977	0.724839	-0.675533	0	0	0	0	1	0	
24185	0	0.5	1.2	-0.682585	-0.00356434	0.599977	0.724839	-0.675533	0	0	0	0	1	0	
24246	0	0.5	1.2	-0.682585	-0.00356434	0.599977	0.724839	-0.675533	0	0	0	0	1	0	
24276	0	0.5	1.2	-0.682585	-0.00356434	0.599977	0.724839	-0.675533	0	0	0	0	1	0	
24306	0	0.5	1.2	-0.682585	-0.00356434	0.599977	0.724839	-0.675533	0	0	0	0	1	0	
24365	0	0.5	1.2	-0.682585	-0.00356434	0.599977	0.724839	-0.675533	0	0	0	0	1	0	
24426	-0.5	0.5	1.2	-0.682585	-0.00582529	0.620496	0.727365	-0.672905	0	0	0	0	1	0	
24486	-0.5	0.5	1.2	-0.682585	-0.00582529	0.620496	0.727365	-0.672905	0	0	0	0	1	0	
24518	-0.5	0.5	1.2	-0.682585	-0.00582529	0.620496	0.727365	-0.672905	0	0	0	0	1	0	
24546	-0.5	0.5	1.2	-0.682585	-0.00582529	0.620496	0.727365	-0.672905	0	0	0	0	1	0	
24576	-0.5	0.5	1.2	-0.682585	-0.00582529	0.620496	0.727365	-0.672905	0	0	0	0	1	0	
24636	-0.5	0.5	1.2	-0.682585	-0.00582529	0.620496	0.727365	-0.672905	0	0	0	0	1	0	
24666	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24697	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24726	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24786	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24816	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24846	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24876	-0.5	0.5	1.2	-0.682585	-0.014789	0.644822	0.724049	-0.671531	0	0	0	0	1	0	
24936	-0.5	0.5	1.2	-0.682585	-0.0208815	0.660154	0.719712	-0.667405	0	0	0	0	1	0	
24966	-0.5	0.5	1.2	-0.682585	-0.0208815	0.660154	0.719712	-0.667405	0	0	0	0	1	0	
24996	-0.5	0.5	1.2	-0.682585	-0.0208815	0.660154	0.719712	-0.667405	0	0	0	0	1	0	
25057	-0.5	0.5	1.2	-0.682585	-0.0208815	0.660154	0.719712	-0.667405	0	0	0	0	1	0	
25086	-0.5	0.5	1.2	-0.682585	-0.0208815	0.660154	0.719712	-0.667405	0	0	0	0	1	0	
