MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
64270	0	0.5	1.2	-0.680383	-0.0412003	0.0450394	-0.20034	-0.680383	0	0	0	0	1	0	
64301	0	0.5	1.2	-0.680383	-0.0412003	0.0450394	-0.20034	-0.680383	0.1	0.1	0.01	0	1	0	
64330	0	0.5	1.2	-0.680383	-0.0412003	0.0450394	-0.20034	-0.680383	0.1	0.1	0.01	0	1	0	
64360	0	0.5	1.2	-0.680383	-0.0412003	0.0450394	-0.20034	-0.680383	0.1	0.1	0.01	0	1	0	
64390	0	0.5	1.2	-0.680383	-0.0422577	0.0484677	-0.200342	-0.678019	0.1	0.1	0.01	0	1	0	
64450	0	0.5	1.2	-0.680383	-0.0422577	0.0484677	-0.200342	-0.678019	0.1	0.1	0.01	0	1	0	
64480	0	0.5	1.2	-0.680383	-0.0422577	0.0484677	-0.200342	-0.678019	0.1	0.1	0.01	0	1	0	
64510	0	0.5	1.2	-0.680383	-0.0422577	0.0484677	-0.200342	-0.678019	0.1	0.1	0.01	0	1	0	
64570	0	0.5	1.2	-0.680383	-0.0422577	0.0484677	-0.200342	-0.678019	0.1	0.1	0.01	0	1	0	
64600	0	0.5	1.2	-0.680383	-0.0422577	0.0484677	-0.200342	-0.678019	0.1	0.1	0.01	0	1	0	
64663	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64691	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64723	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64754	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64780	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64841	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64873	0	0.5	1.2	-0.680383	-0.0418553	0.0501368	-0.199335	-0.676722	0.1	0.1	0.01	0	1	0	
64900	0	0.5	1.2	-0.680383	-0.0427226	0.0530267	-0.205016	-0.674387	0.1	0.1	0.01	0	1	0	
64961	0	0.5	1.2	-0.680383	-0.0427226	0.0530267	-0.205016	-0.674387	0.1	0.1	0.01	0	1	0	
64991	0	0.5	1.2	-0.680383	-0.0427226	0.0530267	-0.205016	-0.674387	0.1	0.1	0.01	0	1	0	
