MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
5119	-0.00998126	0.115701	0.508257	-0.000237142	-0.000508006	0	0.0451257	0.0173185	-0.333205	-0.043925	0.458802	2.02903	
5368	-0.0100528	0.115982	0.508196	-0.00032884	-0.000458184	0	0.0454487	0.0172554	-0.333256	-0.220714	0.394655	3.3656	
5618	-0.00922798	0.115198	0.50916	-0.000341815	-0.000387096	0	0.0455611	0.0171374	-0.3333	-0.218707	0.391769	3.36966	
5869	-0.0102374	0.115422	0.507975	-0.000294731	-0.00035549	0	0.045765	0.0171805	-0.333363	-0.223194	0.393138	3.3651	
6118	-0.00941505	0.11568	0.507608	-0.000289031	-0.000559808	0	0.0456501	0.0172791	-0.333465	-0.22072	0.393997	3.36388	
6368	-0.00947943	0.115697	0.507888	-0.000372166	-0.000465452	0	0.0455575	0.0174322	-0.333534	-0.220518	0.39367	3.36541	
6619	-0.00937384	0.115896	0.50793	-0.000312526	-0.000405843	0	0.0454709	0.0174332	-0.333561	-0.219725	0.393855	3.36586	
6868	-0.00974374	0.116833	0.509099	-0.000257031	-0.000467642	0	0.0452815	0.0173937	-0.333626	-0.220858	0.397598	3.37064	
7118	-0.00901092	0.116113	0.509148	-0.000309564	-0.00035632	0	0.0452159	0.0174554	-0.333688	-0.21717	0.394876	3.37109	
7369	-0.00872152	0.11598	0.509218	-0.000364396	-0.000325165	0	0.0451239	0.017506	-0.333834	-0.21575	0.3941	3.37163	
7618	-0.00385738	0.117568	0.509241	-0.000263984	-0.000338569	0	0.0450429	0.0177325	-0.333909	-0.195925	0.400247	3.3723	
7868	-0.00596584	0.116373	0.508255	-0.000287555	-0.000371508	0	0.0450368	0.0178097	-0.334	-0.204035	0.394562	3.36866	
8119	-0.00732317	0.115386	0.507586	-0.000443309	-0.000497811	0	0.0449044	0.0178271	-0.334129	-0.20944	0.390304	3.36634	
8369	-0.0129845	0.115308	0.506211	-0.000518402	-0.000570161	0	0.0448325	0.017702	-0.334205	-0.231556	0.389924	3.36136	
8618	-0.0178349	0.115556	0.506686	-0.000479494	-0.000762599	0	0.0448153	0.0176456	-0.334271	-0.25067	0.391416	3.36356	
8869	-0.0152324	0.116063	0.510098	-0.00219358	-0.00148524	0	0.0448093	0.0175493	-0.334336	-0.240191	0.393671	3.37748	
9118	-0.0135047	0.118011	0.510429	-0.000880254	-0.000652063	0	0.0448286	0.0173457	-0.334378	-0.233256	0.401846	3.37906	
9368	-0.0119824	0.118289	0.510997	-0.000283421	-0.000368801	0	0.0448255	0.0172185	-0.334363	-0.227244	0.403774	3.3815	
9618	-0.0111396	0.117421	0.510158	-0.000321727	-0.000469803	0	0.0448689	0.0172819	-0.334406	-0.22386	0.400809	3.37808	
9868	-0.0120928	0.119746	0.510702	-0.000373438	-0.000482133	0	0.0451242	0.0172528	-0.334439	-0.227847	0.409858	3.38043	
10118	-0.0122548	0.118457	0.510366	-0.00135841	-0.00421712	0	0.0450562	0.0172866	-0.334503	-0.229516	0.404818	3.37922	
10369	-0.0136187	0.12007	0.510864	-0.000267201	-0.000811502	0	0.021891	0.0409192	-0.321892	-0.2347	0.411133	3.38147	
10619	-0.0154017	0.115227	0.472206	-0.106657	-0.019481	0	0.0389226	0.0696489	-0.347276	-0.149171	0.297231	3.17639	
10868	-0.0460663	0.0261915	0.308648	-0.0152276	-0.00708363	0	0.0632144	0.0884861	-0.334613	-0.339956	-0.17383	2.6237	
11119	-0.0730373	-0.0962708	0.134077	-0.0499185	-0.0337246	0	0.0968857	0.126892	-0.326611	-0.545007	-0.739027	1.87476	
11368	-0.0934542	-0.278776	-0.00545986	-0.0262646	-0.00739024	0	0.164469	0.12845	-0.334238	-0.76136	-1.62267	1.28461	
11618	-0.08935	-0.415882	-0.0792378	-0.0489663	-0.0592948	0	0.177894	0.127091	-0.310166	-1.01528	-2.17733	1.02	
11868	-0.0628821	-0.51897	-0.108744	-0.0170804	-0.0119878	0	0.178457	0.148654	-0.269816	-0.963105	-2.58424	0.805689	
12118	-0.0402841	-0.601929	-0.122974	-0.024998	-0.0144993	0	0.140548	0.147931	-0.232038	-0.874966	-3.00233	0.587369	
12368	-0.0438017	-0.662533	-0.149616	-0.0168471	-0.0132795	0	0.0923646	0.116796	-0.237142	-0.737397	-3.24186	0.32969	
12619	-0.054744	-0.744846	-0.145685	-0.043535	-0.00596565	0	0.0751616	0.0783052	-0.295557	-0.588434	-3.44657	0.365827	
12868	-0.0502621	-0.805301	-0.150965	-0.0460208	-0.0119186	0	0.0745584	0.0883206	-0.344039	-0.501695	-3.53443	0.578367	
13118	-0.0450006	-0.84106	-0.152496	-0.0197211	-0.00517327	0	0.0775994	0.0993948	-0.371496	-0.478236	-3.71752	0.766173	
13368	-0.046476	-0.847234	-0.15415	-0.00273709	-0.00531912	0	0.0796034	0.109797	-0.361431	-0.496302	-3.78652	0.869383	
