MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
5118	-0.00998126	0.115701	0.508257	-0.043925	0.458802	2.02903	0.0504121	-0.0951542	0.0293833	0.197649	-0.384617	0.113533	
5368	-0.0100528	0.115982	0.508196	-0.00028633	0.00112644	-0.000243187	0.0503877	-0.0951201	0.029398	-9.76175e-05	0.000136316	5.87925e-05	
5618	-0.00922798	0.115198	0.50916	0.00329946	-0.00313777	0.00385547	0.0505215	-0.0951126	0.0294808	0.000534967	3.00705e-05	0.000331223	
5868	-0.0102374	0.115422	0.507975	-0.00403752	0.000896841	-0.00473809	0.0503457	-0.0953603	0.0293502	-0.000703007	-0.000991106	-0.000522204	
6118	-0.00941505	0.11568	0.507608	0.00328921	0.0010314	-0.00146937	0.0502178	-0.0953243	0.0295503	-0.000511512	0.000143975	0.00080011	
6367	-0.00947943	0.115697	0.507888	-0.000257485	6.73831e-05	0.00111961	0.0503242	-0.0952961	0.0294536	0.000425428	0.000112832	-0.000386752	
6618	-0.00937384	0.115896	0.50793	0.000422325	0.000797391	0.000169039	0.0503207	-0.0952216	0.0295222	-1.41561e-05	0.000298172	0.000274472	
6868	-0.00974374	0.116833	0.509099	-0.00147956	0.0037466	0.00467396	0.0504749	-0.0953572	0.0295573	0.000617012	-0.000542283	0.00014057	
7118	-0.00901092	0.116113	0.509148	0.00293126	-0.00287986	0.000195503	0.050485	-0.0953025	0.0296183	4.03225e-05	0.000218689	0.000243716	
7369	-0.00872152	0.11598	0.509218	0.00115761	-0.000529528	0.000282526	0.0504761	-0.0953202	0.0296016	-3.57032e-05	-7.09295e-05	-6.68094e-05	
7618	-0.00385738	0.117568	0.509241	0.0194566	0.00634974	9.29832e-05	0.0505625	-0.0954891	0.030231	0.000345856	-0.00067538	0.0025178	
7868	-0.00596584	0.116373	0.508255	-0.00843388	-0.00477898	-0.00394392	0.0504108	-0.0953702	0.0298952	-0.000606924	0.000475436	-0.00134335	
8118	-0.00732317	0.115386	0.507586	-0.00542928	-0.0039492	-0.00267625	0.0502365	-0.0951567	0.0297338	-0.00069727	0.000853956	-0.000645585	
8369	-0.0129845	0.115308	0.506211	-0.0226452	-0.000310361	-0.00550032	0.0500012	-0.0951594	0.0292525	-0.000940993	-1.055e-05	-0.00192503	
8618	-0.0178349	0.115556	0.506686	-0.0194018	0.000991702	0.00189734	0.0499784	-0.0949917	0.0288143	-9.12398e-05	0.000670701	-0.0017529	
8868	-0.0152324	0.116063	0.510098	0.0104101	0.00202921	0.0136483	0.0505207	-0.0949721	0.0290059	0.00216918	7.82311e-05	0.000766233	
9118	-0.0135047	0.118011	0.510429	0.00691076	0.00778988	0.00132537	0.0505844	-0.0950251	0.0293062	0.00025478	-0.000211895	0.00120118	
9368	-0.0119824	0.118289	0.510997	0.00608936	0.00111377	0.00227022	0.0505429	-0.0943604	0.0295791	-0.000165924	0.00265864	0.00109167	
9618	-0.0111396	0.117421	0.510158	0.00337121	-0.00347421	-0.00335574	0.0505792	-0.0945184	0.0296113	0.000145122	-0.000631839	0.000128843	
9868	-0.0120928	0.119746	0.510702	-0.00381306	0.0093025	0.00217819	0.0505799	-0.0945057	0.0295397	2.84612e-06	5.09024e-05	-0.000286557	
10118	-0.0122548	0.118457	0.510366	-0.000647876	-0.00515622	-0.00134563	0.0505318	-0.094483	0.029576	-0.000192523	9.06289e-05	0.00014542	
