MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
18788	0	0.5	1.2	-0.324176	0.381107	0.663494	1.01999	-0.324176	0	0	0	0	1	0	
18818	0	0.5	1.2	-0.324176	0.381107	0.663494	1.01999	-0.324176	-0.1	-0.1	0.1	0	1	0	
18878	0	0.5	1.2	-0.324176	0.377442	0.677155	1.01956	-0.326099	-0.1	-0.1	0.1	0	1	0	
18907	0	0.5	1.2	-0.324176	0.377442	0.677155	1.01956	-0.326099	-0.1	-0.1	0.1	0	1	0	
18968	0	0.5	1.2	-0.324176	0.377442	0.677155	1.01956	-0.326099	-0.1	-0.1	0.1	0	1	0	
18998	0	0.5	1.2	-0.324176	0.377442	0.677155	1.01956	-0.326099	-0.1	-0.1	0.1	0	1	0	
19027	0	0.5	1.2	-0.324176	0.377442	0.677155	1.01956	-0.326099	-0.1	-0.1	0.1	0	1	0	
19058	0	0.5	1.2	-0.324176	0.377442	0.677155	1.01956	-0.326099	-0.1	-0.1	0.1	0	1	0	
19118	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19148	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19208	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19238	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19268	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19298	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19328	0	0.5	1.2	-0.324176	0.376015	0.69072	1.02028	-0.323086	-0.1	-0.1	0.1	0	1	0	
19388	0	0.5	1.2	-0.324176	0.363366	0.707424	1.01815	-0.322235	-0.1	-0.1	0.1	0	1	0	
19418	0	0.5	1.2	-0.324176	0.363366	0.707424	1.01815	-0.322235	-0.1	-0.1	0.1	0	1	0	
19448	0	0.5	1.2	-0.324176	0.363366	0.707424	1.01815	-0.322235	-0.1	-0.1	0.1	0	1	0	
19508	0	0.5	1.2	-0.324176	0.363366	0.707424	1.01815	-0.322235	-0.1	-0.1	0.1	0	1	0	
19538	0	0.5	1.2	-0.324176	0.363366	0.707424	1.01815	-0.322235	-0.1	-0.1	0.1	0	1	0	
19568	0	0.5	1.2	-0.324176	0.363366	0.707424	1.01815	-0.322235	-0.1	-0.1	0.1	0	1	0	
19599	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19658	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19688	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19718	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19778	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19808	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19839	0	0.5	1.2	-0.324176	0.355473	0.733203	1.02796	-0.319536	-0.1	-0.1	0.1	0	1	0	
19870	0	0.5	1.2	-0.324176	0.33453	0.74581	1.05999	-0.317502	-0.1	-0.1	0.1	0	1	0	
19931	0	0.5	1.2	-0.324176	0.33453	0.74581	1.05999	-0.317502	-0.1	-0.1	0.1	0	1	0	
19958	0	0.5	1.2	-0.324176	0.33453	0.74581	1.05999	-0.317502	-0.1	-0.1	0.1	0	1	0	
19991	0	0.5	1.2	-0.324176	0.33453	0.74581	1.05999	-0.317502	-0.1	-0.1	0.1	0	1	0	
20049	0	0.5	1.2	-0.324176	0.33453	0.74581	1.05999	-0.317502	-0.1	-0.1	0.1	0	1	0	
20107	0	0.5	1.2	-0.324176	0.290989	0.773091	1.08514	-0.318669	-0.1	-0.1	0.1	0	1	0	
20138	0	0.5	1.2	-0.324176	0.290989	0.773091	1.08514	-0.318669	-0.1	-0.1	0.1	0	1	0	
20198	0	0.5	1.2	-0.324176	0.290989	0.773091	1.08514	-0.318669	-0.1	-0.1	0.1	0	1	0	
20228	0	0.5	1.2	-0.324176	0.290989	0.773091	1.08514	-0.318669	-0.1	-0.1	0.1	0	1	0	
20258	0	0.5	1.2	-0.324176	0.290989	0.773091	1.08514	-0.318669	-0.1	-0.1	0.1	0	1	0	
20318	0	0.5	1.2	-0.324176	0.290989	0.773091	1.08514	-0.318669	-0.1	-0.1	0.1	0	1	0	
20378	0	0.5	1.2	-0.324176	0.226301	0.798362	1.07619	-0.319165	-0.1	-0.1	0.1	0	1	0	
20408	0	0.5	1.2	-0.324176	0.226301	0.798362	1.07619	-0.319165	-0.1	-0.1	0.1	0	1	0	
20468	0	0.5	1.2	-0.324176	0.226301	0.798362	1.07619	-0.319165	-0.1	-0.1	0.1	0	1	0	
20497	0	0.5	1.2	-0.324176	0.226301	0.798362	1.07619	-0.319165	-0.1	-0.1	0.1	0	1	0	
20529	0	0.5	1.2	-0.324176	0.226301	0.798362	1.07619	-0.319165	-0.1	-0.1	0.1	0	1	0	
20558	0	0.5	1.2	-0.324176	0.226301	0.798362	1.07619	-0.319165	-0.1	-0.1	0.1	0	1	0	
20618	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20648	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20708	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20738	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20768	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20797	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20828	0	0.5	1.2	-0.324176	0.154463	0.825398	1.07018	-0.319519	-0.1	-0.1	0.1	0	1	0	
20888	0	0.5	1.2	-0.324176	0.0843604	0.843762	1.07935	-0.323676	-0.1	-0.1	0.1	0	1	0	
20918	0	0.5	1.2	-0.324176	0.0843604	0.843762	1.07935	-0.323676	-0.1	-0.1	0.1	0	1	0	
20948	0	0.5	1.2	-0.324176	0.0843604	0.843762	1.07935	-0.323676	-0.1	-0.1	0.1	0	1	0	
21007	0	0.5	1.2	-0.324176	0.0843604	0.843762	1.07935	-0.323676	-0.1	-0.1	0.1	0	1	0	
21038	0	0.5	1.2	-0.324176	0.0843604	0.843762	1.07935	-0.323676	-0.1	-0.1	0.1	0	1	0	
21068	0	0.5	1.2	-0.324176	0.0843604	0.843762	1.07935	-0.323676	-0.1	-0.1	0.1	0	1	0	
21098	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21158	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21188	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21217	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21278	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21308	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21338	0	0.5	1.2	-0.324176	0.0319015	0.845684	1.10513	-0.325459	-0.1	-0.1	0.1	0	1	0	
21368	0	0.5	1.2	-0.324176	0.0283911	0.821437	1.11461	-0.325049	-0.1	-0.1	0.1	0	1	0	
21428	0	0.5	1.2	-0.324176	0.0283911	0.821437	1.11461	-0.325049	-0.1	-0.1	0.1	0	1	0	
21458	0	0.5	1.2	-0.324176	0.0283911	0.821437	1.11461	-0.325049	-0.1	-0.1	0.1	0	1	0	
21487	0	0.5	1.2	-0.324176	0.0283911	0.821437	1.11461	-0.325049	-0.1	-0.1	0.1	0	1	0	
21518	0	0.5	1.2	-0.324176	0.0283911	0.821437	1.11461	-0.325049	-0.1	-0.1	0.1	0	1	0	
21578	0	0.5	1.2	-0.324176	0.0283911	0.821437	1.11461	-0.325049	-0.1	-0.1	0.1	0	1	0	
21608	0	0.5	1.2	-0.324176	0.0110815	0.770534	1.15798	-0.321144	-0.1	-0.1	0.1	0	1	0	
21668	0	0.5	1.2	-0.324176	0.0110815	0.770534	1.15798	-0.321144	-0.1	-0.1	0.1	0	1	0	
21698	0	0.5	1.2	-0.324176	0.0110815	0.770534	1.15798	-0.321144	-0.1	-0.1	0.1	0	1	0	
21728	0	0.5	1.2	-0.324176	0.0110815	0.770534	1.15798	-0.321144	-0.1	-0.1	0.1	0	1	0	
21789	0	0.5	1.2	-0.324176	0.0110815	0.770534	1.15798	-0.321144	-0.1	-0.1	0.1	0	1	0	
21848	0	0.5	1.2	-0.324176	0.0110815	0.770534	1.15798	-0.321144	-0.1	-0.1	0.1	0	1	0	
21878	0	0.5	1.2	-0.324176	-0.026738	0.715382	1.15704	-0.319192	-0.1	-0.1	0.1	0	1	0	
21908	0	0.5	1.2	-0.324176	-0.026738	0.715382	1.15704	-0.319192	0.1	-0.1	0.1	0	1	0	
21968	0	0.5	1.2	-0.324176	-0.026738	0.715382	1.15704	-0.319192	0.1	-0.1	0.1	0	1	0	
21998	0	0.5	1.2	-0.324176	-0.026738	0.715382	1.15704	-0.319192	0.1	-0.1	0.1	0	1	0	
22029	0	0.5	1.2	-0.324176	-0.026738	0.715382	1.15704	-0.319192	0.1	-0.1	0.1	0	1	0	
22058	0	0.5	1.2	-0.324176	-0.026738	0.715382	1.15704	-0.319192	0.1	-0.1	0.1	0	1	0	
22118	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22148	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22178	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22238	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22268	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22299	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22328	0	0.5	1.2	-0.324176	-0.0576657	0.625566	1.17594	-0.313139	0	0	0	0	1	0	
22387	0	0.5	1.2	-0.324176	-0.0450779	0.562942	1.20212	-0.310731	0	0	0	0	1	0	
22418	0	0.5	1.2	-0.324176	-0.0450779	0.562942	1.20212	-0.310731	0	0	0	0	1	0	
22448	0	0.5	1.2	-0.324176	-0.0450779	0.562942	1.20212	-0.310731	0	0	0	0	1	0	
22508	0	0.5	1.2	-0.324176	-0.0450779	0.562942	1.20212	-0.310731	0	0	0	0	1	0	
