MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
4854	0.245644	-0.171845	-1.5357	-0.000180863	-0.000242616	0	0.0265907	0.040729	0.0532814	0.978577	-0.69138	-6.1468	
5104	0.244354	-0.170409	-1.53462	-0.000221079	-0.000277707	0	0.026524	0.0409005	0.0531916	0.871053	-0.844552	-6.35161	
5354	0.243988	-0.169862	-1.534	-0.000203588	-0.000262698	0	0.026685	0.0411084	0.0530898	0.869857	-0.84305	-6.34875	
5603	0.243895	-0.170672	-1.52921	-0.00034493	-0.000272253	0	0.0265999	0.0411296	0.0529864	0.86884	-0.84712	-6.32919	
5855	0.246649	-0.172804	-1.53187	-0.000196444	-0.00028054	0	0.0264766	0.0411235	0.0528949	0.880195	-0.855734	-6.33941	
6104	0.243459	-0.172185	-1.53288	-0.000235502	-0.000248352	0	0.0262877	0.0413927	0.052854	0.86793	-0.853233	-6.34312	
6354	0.24493	-0.17493	-1.53226	-0.000262511	-0.000273642	0	0.0261575	0.0413996	0.0528126	0.874567	-0.86529	-6.34045	
6603	0.242888	-0.175132	-1.53145	-0.000289058	-0.000238997	0	0.0260457	0.0410562	0.0527723	0.866922	-0.866125	-6.33703	
6854	0.242654	-0.174159	-1.53183	-0.000294061	-0.000212303	0	0.0261367	0.0407297	0.0527222	0.866433	-0.86086	-6.33841	
7104	0.240548	-0.174185	-1.52889	-0.000180116	-0.000196665	0	0.0263587	0.0403758	0.0526283	0.857647	-0.85966	-6.32646	
7354	0.242369	-0.172947	-1.53098	-0.000339731	-0.000196477	0	0.0266582	0.0402173	0.0524828	0.864043	-0.85329	-6.33442	
7604	0.242439	-0.17667	-1.53334	-0.00032083	-0.000243139	0	0.0266791	0.0401516	0.0523815	0.863124	-0.867547	-6.34329	
7854	0.242895	-0.175834	-1.53395	-0.000237573	-0.000299589	0	0.0266676	0.0399883	0.0522789	0.864862	-0.863943	-6.34534	
8104	0.24445	-0.176201	-1.53316	-0.000272024	-0.000217573	0	0.0264748	0.0403967	0.0521348	0.87113	-0.864757	-6.34177	
8354	0.243427	-0.169672	-1.53323	-0.000253122	-0.000141661	0	0.0264005	0.040773	0.0520038	0.86781	-0.840276	-6.34145	
8604	0.245672	-0.165265	-1.53018	-0.000232955	-0.000220019	0	0.026446	0.0408318	0.0518975	0.877085	-0.82415	-6.32872	
8854	0.244598	-0.166964	-1.52478	-0.000268491	-0.000227839	0	0.0265768	0.040825	0.0517968	0.872607	-0.831182	-6.30673	
9104	0.242449	-0.173767	-1.52776	-0.000251562	-0.000257828	0	0.0266074	0.0409875	0.0516788	0.863488	-0.858369	-6.31823	
9354	0.242414	-0.170237	-1.53325	-0.000264808	-0.000190767	0	0.0266068	0.0409035	0.0516635	0.863226	-0.844898	-6.3397	
9604	0.24651	-0.165421	-1.5335	-0.000277098	-0.000248747	0	0.0266815	0.040981	0.0515975	0.879613	-0.825299	-6.34065	
9854	0.24565	-0.162182	-1.53306	-0.000278874	-0.000214543	0	0.0269438	0.0408308	0.0515625	0.875873	-0.812651	-6.33864	
10104	0.246991	-0.164364	-1.53295	-0.000211825	-0.000287497	0	0.0268108	0.0410526	0.0514861	0.88019	-0.820778	-6.33804	
10354	0.244233	-0.170164	-1.53117	-0.000339117	-0.000176804	0	0.0269154	0.0410959	0.0514394	0.869689	-0.844865	-6.33062	
10604	0.241711	-0.162235	-1.53303	-0.000180055	-0.000256556	0	0.0273161	0.0407775	0.0514376	0.859183	-0.813325	-6.33789	
10854	0.240106	-0.170315	-1.53087	-0.000263128	-0.000245839	0	0.0272628	0.0408995	0.0514267	0.851159	-0.84437	-6.32925	
11103	0.239246	-0.170318	-1.53527	-0.000306685	-0.000256718	0	0.0270718	0.0407545	0.0514191	0.847932	-0.844871	-6.34679	
11353	0.242123	-0.171469	-1.53511	-0.000170612	-0.000284448	0	0.0268723	0.0409232	0.0513287	0.860204	-0.848895	-6.34613	
11604	0.239695	-0.168601	-1.53318	-0.000272465	-0.000200568	0	0.0266065	0.0411267	0.0512613	0.851292	-0.838095	-6.33805	
11854	0.242245	-0.169103	-1.53114	-0.00034226	-0.000307527	0	0.0267612	0.040819	0.0511976	0.862554	-0.84092	-6.32962	
12104	0.242427	-0.169318	-1.53466	-0.000247652	-0.000167644	0	0.0268885	0.0406016	0.0511319	0.862665	-0.840548	-6.34343	
12354	0.242138	-0.171023	-1.53491	-0.000251136	-0.000235111	0	0.0267159	0.0407251	0.0510687	0.860997	-0.846497	-6.34417	
12603	0.240988	-0.16879	-1.53241	-0.000257622	-0.000189847	0	0.0265747	0.0405119	0.0510097	0.857088	-0.838061	-6.33393	
12854	0.242813	-0.167413	-1.53279	-0.000225643	-0.000228761	0	0.0265215	0.0404345	0.0510105	0.864951	-0.831701	-6.3352	
13104	0.243966	-0.164893	-1.52898	-0.000306612	-0.000294726	0	0.0267182	0.0406756	0.0509626	0.869777	-0.82131	-6.31996	
13354	0.244209	-0.168739	-1.52842	-0.000220719	-0.000273375	0	0.0265447	0.0406159	0.0508931	0.869963	-0.837658	-6.31754	
13604	0.245171	-0.164715	-1.53205	-0.000256969	-0.00031206	0	0.0264702	0.0405996	0.0508511	0.874504	-0.821323	-6.33177	
13854	0.242606	-0.169853	-1.53784	-0.000230529	-0.00030897	0	0.026356	0.0408155	0.0507964	0.864541	-0.841809	-6.35477	
14104	0.243258	-0.167178	-1.53347	-5.56698e-05	-0.000135634	0	0.0263321	0.040865	0.0507136	0.867607	-0.831972	-6.33707	
14354	0.243357	-0.16733	-1.53142	-2.83081e-05	-1.23857e-05	0	0.0263776	0.0410612	0.0506737	0.8681	-0.83278	-6.32854	
14604	0.242369	-0.169641	-1.53158	-2.29375e-05	-1.00423e-05	0	0.0260311	0.0409769	0.051198	0.863964	-0.842811	-6.32901	
14854	0.242235	-0.168959	-1.545	-1.68405e-05	-7.37173e-06	0	0.0245633	0.0401258	0.0530613	0.864814	-0.839742	-6.38479	
15104	0.235897	-0.170562	-1.55615	-1.42035e-05	-6.216e-06	0	0.0231306	0.0394512	0.0523844	0.845333	-0.84275	-6.43686	
15355	0.228562	-0.166686	-1.55566	-1.00126e-05	-4.38156e-06	0	0.0218025	0.039066	0.048597	0.821726	-0.82455	-6.43218	
15603	0.232464	-0.165613	-1.55089	-8.79169e-06	-3.84592e-06	0	0.0203766	0.0385751	0.0452758	0.842648	-0.818715	-6.39794	
15854	0.236669	-0.175689	-1.53843	-6.2921e-06	-2.75264e-06	0	0.0193283	0.0380151	0.04057	0.865169	-0.857057	-6.33484	
16104	0.242734	-0.167342	-1.55913	-5.09791e-06	-2.23033e-06	0	0.0184731	0.0367604	0.0384185	0.893623	-0.821427	-6.39881	
16354	0.239763	-0.16132	-1.54362	-3.74193e-06	-1.63604e-06	0	0.0170017	0.0365603	0.028018	0.885159	-0.792322	-6.32815	
16604	0.220514	-0.168188	-1.53237	-3.09477e-06	-1.34997e-06	0	0.0313396	0.0197715	0.0140335	0.814049	-0.818992	-6.24157	
16854	0.193565	-0.164229	-1.50246	-2.40256e-06	-1.04247e-06	0	0.0392473	0.0147751	0.0125055	0.648902	-0.736001	-6.06596	
17104	0.131027	-0.171859	-0.999996	-0.00914345	-0.0118141	0	0.0449695	0.0438074	-0.0895561	0.36712	-0.746535	-4.05001	
17356	0.048821	-0.208037	0.464779	-0.036596	-0.0487996	0	0.0480972	0.047621	-0.463888	0.015406	-1.00738	2.21734	
17604	-0.013909	-0.271521	0.945212	-0.0299151	-0.0105814	0	0.0383652	0.0395328	-0.463726	-0.248025	-1.27657	5.6364	
17855	-0.0668042	-0.310629	1.24437	-0.0527853	-0.0134579	0	0.00722392	0.024289	-0.459652	-0.420678	-1.40065	6.83237	
18104	-0.0619921	-0.366279	1.36457	-0.0423236	-0.00912111	0	-0.0281402	0.0137392	-0.453974	-0.276864	-1.56227	7.29688	
18354	-0.0475332	-0.396748	1.27943	-0.028097	-0.0149942	0	-0.0102133	0.0178966	-0.454325	-0.077572	-1.64195	6.93361	
18603	-0.0378306	-0.419605	1.1952	-0.0129106	-0.0044294	0	0.0157878	0.0299438	-0.455731	-0.110469	-1.75001	6.59808	
18854	-0.0481555	-0.422437	1.19391	-0.00625057	-0.0053127	0	0.0266208	0.0334374	-0.455194	-0.255773	-1.80952	6.59856	
19104	-0.0600775	-0.420645	1.1987	-0.00598493	-0.0043513	0	0.0314805	0.0313587	-0.453834	-0.346793	-1.81633	6.61556	
19354	-0.0612529	-0.418972	1.20198	-0.00608305	-0.00545603	0	0.0315074	0.0309489	-0.452959	-0.370934	-1.80132	6.62326	
19603	-0.063262	-0.411232	1.19892	-0.00573383	-0.00282321	0	0.0312163	0.0305607	-0.452868	-0.379078	-1.76872	6.6075	
