MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
21274	0	0.5	1.2	-0.446858	-0.0660045	-0.388759	1.19493	-0.446858	0	0	0	0	1	0	
21304	0	0.5	1.2	-0.446858	-0.0660045	-0.388759	1.19493	-0.446858	0.1	0.1	0.1	0	1	0	
21334	0	0.5	1.2	-0.446858	-0.0660045	-0.388759	1.19493	-0.446858	0.1	0.1	0.1	0	1	0	
21364	0	0.5	1.2	-0.446858	-0.0660045	-0.388759	1.19493	-0.446858	0.1	0.1	0.1	0	1	0	
21424	0	0.5	1.2	-0.446858	-0.0637807	-0.390069	1.19151	-0.44813	0.1	0.1	0.1	0	1	0	
21454	0	0.5	1.2	-0.446858	-0.0637807	-0.390069	1.19151	-0.44813	0.1	0.1	0.1	0	1	0	
21484	0	0.5	1.2	-0.446858	-0.0637807	-0.390069	1.19151	-0.44813	0.1	0.1	0.1	0	1	0	
21544	0	0.5	1.2	-0.446858	-0.0637807	-0.390069	1.19151	-0.44813	0.1	0.1	0.1	0	1	0	
21575	0	0.5	1.2	-0.446858	-0.0637807	-0.390069	1.19151	-0.44813	0.1	0.1	0.1	0	1	0	
21604	0	0.5	1.2	-0.446858	-0.0637807	-0.390069	1.19151	-0.44813	0.1	0.1	0.1	0	1	0	
21634	0	0.5	1.2	-0.446858	-0.0702956	-0.373645	1.18135	-0.448024	0.1	0.1	0.1	0	1	0	
21694	0	0.5	1.2	-0.446858	-0.0702956	-0.373645	1.18135	-0.448024	0.1	0.1	0.1	0	1	0	
21724	0	0.5	1.2	-0.446858	-0.0702956	-0.373645	1.18135	-0.448024	0.1	0.1	0.1	0	1	0	
21754	0	0.5	1.2	-0.446858	-0.0702956	-0.373645	1.18135	-0.448024	0.1	0.1	0.1	0	1	0	
21814	0	0.5	1.2	-0.446858	-0.0702956	-0.373645	1.18135	-0.448024	0.1	0.1	0.1	0	1	0	
21874	0	0.5	1.2	-0.446858	-0.0702956	-0.373645	1.18135	-0.448024	0.1	0.1	0.1	0	1	0	
21904	0	0.5	1.2	-0.446858	-0.077008	-0.349505	1.16829	-0.446195	0.1	0.1	0.1	0	1	0	
21935	0	0.5	1.2	-0.446858	-0.077008	-0.349505	1.16829	-0.446195	0.1	0.1	0.1	0	1	0	
21994	0	0.5	1.2	-0.446858	-0.077008	-0.349505	1.16829	-0.446195	0.1	0.1	0.1	0	1	0	
22024	0	0.5	1.2	-0.446858	-0.077008	-0.349505	1.16829	-0.446195	0.1	0.1	0.1	0	1	0	
22054	0	0.5	1.2	-0.446858	-0.077008	-0.349505	1.16829	-0.446195	0.1	0.1	0.1	0	1	0	
22117	0	0.5	1.2	-0.446858	-0.077008	-0.349505	1.16829	-0.446195	0.1	0.1	0.1	0	1	0	
22144	0	0.5	1.2	-0.446858	-0.0746805	-0.314352	1.16368	-0.442849	0.1	0.1	0.1	0	1	0	
22174	0	0.5	1.2	-0.446858	-0.0746805	-0.314352	1.16368	-0.442849	0.1	0.1	0.1	0	1	0	
22204	0	0.5	1.2	-0.446858	-0.0746805	-0.314352	1.16368	-0.442849	0.1	0.1	0.1	0	1	0	
22264	0	0.5	1.2	-0.446858	-0.0746805	-0.314352	1.16368	-0.442849	0.1	0.1	0.1	0	1	0	
22295	0	0.5	1.2	-0.446858	-0.0746805	-0.314352	1.16368	-0.442849	0.1	0.1	0.1	0	1	0	
22325	0	0.5	1.2	-0.446858	-0.0746805	-0.314352	1.16368	-0.442849	0.1	0.1	0.1	0	1	0	
