MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
4257	0.520074	0.510861	-1.15557	2.0763	2.03944	-4.62628	0.0109645	-0.20212	-0.134262	0.0398581	-0.812479	-0.541047	
4507	0.516465	0.510979	-1.15272	-0.0144367	0.000473499	0.0114074	0.0105834	-0.202261	-0.134718	-0.00152442	-0.000566363	-0.0018267	
4758	0.517469	0.511629	-1.15466	0.00401568	0.00259924	-0.00779009	0.0109024	-0.20218	-0.134658	0.00127598	0.000324905	0.000243008	
5007	0.516968	0.511119	-1.15417	-0.00200105	-0.00203729	0.00196362	0.0107962	-0.202167	-0.134719	-0.00042503	5.14984e-05	-0.000244558	
5257	0.516385	0.508706	-1.1546	-0.00233364	-0.00965238	-0.00170231	0.0109068	-0.202508	-0.13482	0.000442464	-0.00136513	-0.000402808	
5507	0.518853	0.511482	-1.1551	0.00987363	0.0111008	-0.00200129	0.0110476	-0.202108	-0.134392	0.000563104	0.00160372	0.00170916	
5757	0.519369	0.514238	-1.15599	0.00206065	0.0110254	-0.00354195	0.0112113	-0.202032	-0.134382	0.000654981	0.000301659	4.1604e-05	
6009	0.519468	0.512156	-1.15491	0.000395775	-0.00832605	0.00430679	0.0109923	-0.201598	-0.134328	-0.000876129	0.0017364	0.000216663	
6257	0.519173	0.510876	-1.1534	-0.00117779	-0.00512218	0.0060277	0.0107274	-0.202109	-0.134199	-0.00105937	-0.00204206	0.000515997	
6510	0.520245	0.514666	-1.15487	0.004287	0.0151613	-0.00588274	0.0110668	-0.202099	-0.134102	0.00135766	3.9041e-05	0.00038588	
6760	0.525241	0.511106	-1.15691	0.0199831	-0.0142403	-0.00816107	0.0113855	-0.202085	-0.13364	0.0012748	5.33462e-05	0.00185055	
7012	0.52156	0.510994	-1.15664	-0.0147228	-0.000449657	0.00109911	0.0112982	-0.202083	-0.134079	-0.000349522	1.06096e-05	-0.00175893	
7257	0.521211	0.51163	-1.15674	-0.00139451	0.0025444	-0.000393391	0.0113096	-0.201975	-0.13405	4.59291e-05	0.000431061	0.000117302	
7509	0.52042	0.511193	-1.15682	-0.0031662	-0.0017457	-0.000328541	0.0113088	-0.202146	-0.134234	-3.33786e-06	-0.00068593	-0.000734746	
7757	0.521218	0.511362	-1.15695	0.00319123	0.00067544	-0.000519753	0.0112893	-0.202426	-0.13411	-7.79852e-05	-0.00111836	0.000493765	
8008	0.52098	0.51191	-1.15692	-0.000948429	0.00219154	9.58443e-05	0.0112668	-0.202501	-0.134144	-9.00365e-05	-0.000300467	-0.000136554	
8258	0.520973	0.509148	-1.15651	-3.14713e-05	-0.0110478	0.00165176	0.0111649	-0.202591	-0.134023	-0.000407778	-0.000357628	0.000483513	
8508	0.520494	0.511865	-1.1574	-0.00191522	0.0108674	-0.00353527	0.0113587	-0.202148	-0.134203	0.000775348	0.00177228	-0.000716269	
8758	0.521561	0.512122	-1.15894	0.00426769	0.00102782	-0.00618792	0.0116096	-0.201906	-0.134072	0.00100343	0.000966489	0.000521064	
9008	0.521096	0.513107	-1.15906	-0.00185943	0.00393891	-0.000460625	0.0115979	-0.202069	-0.134213	-4.66108e-05	-0.00065124	-0.000563562	
9258	0.520465	0.512418	-1.1572	-0.00252151	-0.0027535	0.0074296	0.011328	-0.202158	-0.134261	-0.00107979	-0.000355959	-0.000192344	
9508	0.52215	0.51384	-1.15696	0.00673771	0.00568891	0.000945568	0.0112576	-0.202135	-0.134075	-0.000281509	8.95858e-05	0.00074625	
9757	0.526168	0.511941	-1.15626	0.0160708	-0.00759935	0.00279665	0.0113176	-0.202135	-0.133552	0.000240285	-1.78814e-07	0.00209183	
10008	0.52605	0.510804	-1.15602	-0.0004704	-0.00454617	0.000975132	0.0113207	-0.202262	-0.133516	1.23754e-05	-0.000507176	0.000143766	
10257	0.526559	0.511089	-1.15604	0.00203705	0.00113797	-8.34465e-05	0.0113633	-0.201999	-0.13359	0.000170339	0.00105119	-0.000298321	
10508	0.523442	0.507751	-1.15664	-0.0124688	-0.0133491	-0.00240564	0.0112391	-0.202159	-0.133953	-0.000496943	-0.000638962	-0.00145137	
10758	0.524208	0.509189	-1.15686	0.00306177	0.00574899	-0.000869274	0.0112627	-0.202337	-0.133815	9.46149e-05	-0.000711322	0.000553548	
11007	0.525783	0.509823	-1.15557	0.00630021	0.00253654	0.00514889	0.011087	-0.202287	-0.133633	-0.000702921	0.000199974	0.000729322	
11257	0.525147	0.51009	-1.15604	-0.00254345	0.00106907	-0.00188732	0.0111724	-0.202697	-0.133848	0.000341453	-0.00164044	-0.000861764	
11507	0.525234	0.509233	-1.15639	0.000350952	-0.00342655	-0.00138712	0.0112515	-0.202367	-0.13383	0.000316355	0.00132138	7.37309e-05	
11758	0.525918	0.511759	-1.15761	0.00273252	0.0101018	-0.00486374	0.0114726	-0.202305	-0.133648	0.000884626	0.000248075	0.000726461	
12009	0.524575	0.511595	-1.15642	-0.00537038	-0.000654697	0.00474596	0.0112739	-0.202536	-0.133734	-0.000794966	-0.000924647	-0.000345051	
12260	0.52345	0.51015	-1.15519	-0.00450039	-0.00578117	0.0049057	0.0111306	-0.202455	-0.133842	-0.000572987	0.000324488	-0.000429749	
12509	0.523469	0.512498	-1.15513	7.53403e-05	0.00939417	0.000277996	0.0111089	-0.202303	-0.13384	-8.69557e-05	0.000606358	5.42402e-06	
12757	0.525791	0.51046	-1.15604	0.00928926	-0.00815368	-0.00365591	0.011272	-0.202287	-0.133647	0.000652384	6.38962e-05	0.000772595	
13007	0.525612	0.511545	-1.15623	-0.000715971	0.00433874	-0.000768661	0.0113299	-0.202369	-0.133789	0.000231825	-0.000326276	-0.000569403	
13258	0.52895	0.508044	-1.16597	0.0133536	-0.0140011	-0.0389404	0.0125622	-0.202076	-0.133477	0.00492882	0.00116932	0.00125086	
13511	0.526806	0.504005	-1.16246	-0.0085783	-0.0161591	0.01404	0.0120499	-0.202003	-0.132268	-0.00204894	0.00029254	0.00483668	
13757	0.526068	0.505154	-1.15835	-0.00295305	0.00459838	0.0164337	0.0113867	-0.202524	-0.132521	-0.0026527	-0.00208461	-0.00101364	
14008	0.521655	0.507153	-1.15841	-0.0176501	0.00799632	-0.000244141	0.0114148	-0.202545	-0.13729	0.000112202	-8.39829e-05	-0.0190743	
14257	0.522887	0.503739	-1.15989	0.00492954	-0.0136559	-0.00594234	0.0118318	-0.2024	-0.143777	0.00166815	0.000579774	-0.0259497	
