MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
5037	0	0	0	nan	nan	0	0.0443314	0.0240332	-0.101875	-0.004	-0.004	-0.004	
5288	0.0974471	0.413542	0.447569	-0.000164087	-0.00020703	0	0.044321	0.0240702	-0.101891	0.212463	1.55803	2.19777	
5537	0.0973197	0.413914	0.44756	-0.00027755	-0.000217421	0	0.0442619	0.0240077	-0.101872	0.211995	1.55938	2.19781	
5788	0.0974949	0.41341	0.44755	-0.000279209	-0.000282191	0	0.0444415	0.0238168	-0.101855	0.212932	1.55761	2.19769	
6040	0.0973321	0.413888	0.44751	-0.00024651	-0.000198058	0	0.0446777	0.0234302	-0.101815	0.211562	1.56029	2.19746	
6288	0.097434	0.413494	0.447576	-0.000282978	-0.000229065	0	0.0448556	0.022947	-0.101779	0.211025	1.56026	2.19756	
6537	0.097288	0.414252	0.447498	-0.000281836	-0.000187214	0	0.04496	0.0227983	-0.101789	0.209729	1.56522	2.19711	
6788	0.0973818	0.414589	0.4493	-0.000188289	-0.000289608	0	0.0448827	0.0226287	-0.101818	0.209687	1.56716	2.20436	
7037	0.0975045	0.416339	0.459159	-0.00022392	-0.000212598	0	0.0447998	0.0226177	-0.10185	0.210487	1.57484	2.24391	
7287	0.100174	0.414058	0.44996	-0.000274677	-0.000273024	0	0.0447558	0.0228987	-0.101929	0.221498	1.56576	2.20724	
7538	0.100216	0.41403	0.449996	-0.000277176	-0.000237637	0	0.0445596	0.0229699	-0.101997	0.221843	1.56452	2.2077	
7788	0.100015	0.414742	0.449935	-0.000253988	-0.000211988	0	0.0444438	0.0231427	-0.102013	0.221822	1.56709	2.20773	
8037	0.100213	0.41389	0.450036	-0.000332322	-0.000306107	0	0.0442726	0.0232118	-0.102029	0.223076	1.56299	2.2082	
8288	0.100036	0.414243	0.449973	-0.00020753	-0.000476653	0	0.0442518	0.0234017	-0.102071	0.223052	1.56412	2.20801	
8537	0.0999332	0.414287	0.449961	-0.000567723	-0.000417426	0	0.0443198	0.0234478	-0.10207	0.222726	1.56354	2.20813	
8788	0.100025	0.414082	0.44996	-0.000339503	-0.000304117	0	0.0442678	0.0234478	-0.102006	0.222821	1.56254	2.20812	
9037	0.100304	0.412991	0.450071	-0.000456467	-0.000243044	0	0.0441338	0.023674	-0.101976	0.224145	1.55817	2.20831	
9288	0.100323	0.412908	0.450077	-0.000457468	-0.0003241	0	0.0441512	0.0239372	-0.102023	0.224755	1.55694	2.20821	
9538	0.100314	0.41297	0.450064	-0.000620807	-0.000296192	0	0.0440462	0.0241711	-0.102039	0.224651	1.55613	2.20835	
9788	0.100275	0.413192	0.450062	-0.00031589	-0.000235535	0	0.0440308	0.0243606	-0.10208	0.224915	1.55608	2.20841	
10038	0.100208	0.413365	0.450036	-0.000279379	-0.000274357	0	0.0441732	0.02445	-0.102099	0.224707	1.55602	2.20846	
