MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
125247	0	0.5	1.2	-0.573387	-0.0320587	0.515988	-0.168984	-0.573387	0	0	0	0	1	0	
125277	0	0.5	1.2	-0.573387	-0.0320587	0.515988	-0.168984	-0.573387	0	0	0	0	1	0	
125337	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125368	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125397	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125457	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125488	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125517	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125547	0	0.5	1.2	-0.573387	-0.0321241	0.515045	-0.170442	-0.570938	0	0	0	0	1	0	
125607	0	0.5	1.2	-0.573387	-0.0483845	0.531861	-0.164341	-0.569211	0	0	0	0	1	0	
125638	0	0.5	1.2	-0.573387	-0.0483845	0.531861	-0.164341	-0.569211	0	0	0	0	1	0	
125667	0	0.5	1.2	-0.573387	-0.0483845	0.531861	-0.164341	-0.569211	0	0	0	0	1	0	
125727	0	0.5	1.2	-0.573387	-0.0483845	0.531861	-0.164341	-0.569211	0	0	0	0	1	0	
125758	0	0.5	1.2	-0.573387	-0.0483845	0.531861	-0.164341	-0.569211	0	0	0	0	1	0	
125788	0	0.5	1.2	-0.573387	-0.0483845	0.531861	-0.164341	-0.569211	0	0	0	0	1	0	
125848	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
125877	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
125908	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
125937	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
125997	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
126028	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
126057	0	0.5	1.2	-0.573387	-0.0591488	0.544715	-0.161038	-0.567938	0	0	0	0	1	0	
126088	0	0.5	1.2	-0.573387	-0.0658838	0.554252	-0.161891	-0.563914	0	0	0	0	1	0	
126147	0	0.5	1.2	-0.573387	-0.0658838	0.554252	-0.161891	-0.563914	0	0	0	0	1	0	
126177	0	0.5	1.2	-0.573387	-0.0658838	0.554252	-0.161891	-0.563914	0	0	0	0	1	0	
126207	0	0.5	1.2	-0.573387	-0.0658838	0.554252	-0.161891	-0.563914	0	0	0	0	1	0	
126270	0	0.5	1.2	-0.573387	-0.0658838	0.554252	-0.161891	-0.563914	0	0	0	0	1	0	
126297	0	0.5	1.2	-0.573387	-0.0658838	0.554252	-0.161891	-0.563914	0	0	0	0	1	0	
126327	0	0.5	1.2	-0.573387	-0.0664753	0.558331	-0.166266	-0.563188	0	0	0	0	1	0	
126387	0	0.5	1.2	-0.573387	-0.0664753	0.558331	-0.166266	-0.563188	0	0	0	0	1	0	
126419	0	0.5	1.2	-0.573387	-0.0664753	0.558331	-0.166266	-0.563188	0	0	0	0	1	0	
126448	0	0.5	1.2	-0.573387	-0.0664753	0.558331	-0.166266	-0.563188	0	0	0	0	1	0	
126507	-0.5	0.5	1.2	-0.573387	-0.0664753	0.558331	-0.166266	-0.563188	0	0	0	0	1	0	
126567	-0.5	0.5	1.2	-0.573387	-0.0664753	0.558331	-0.166266	-0.563188	0	0	0	0	1	0	
126598	-0.5	0.5	1.2	-0.573387	-0.0673747	0.559747	-0.164892	-0.558189	0	0	0	0	1	0	
126657	-0.5	0.5	1.2	-0.573387	-0.0673747	0.559747	-0.164892	-0.558189	0	0	0	0	1	0	
126687	-0.5	0.5	1.2	-0.573387	-0.0673747	0.559747	-0.164892	-0.558189	0	0	0	0	1	0	
126718	-0.5	0.5	1.2	-0.573387	-0.0673747	0.559747	-0.164892	-0.558189	0	0	0	0	1	0	
126747	-0.5	0.5	1.2	-0.573387	-0.0673747	0.559747	-0.164892	-0.558189	0	0	0	0	1	0	
126777	-0.5	0.5	1.2	-0.573387	-0.0673747	0.559747	-0.164892	-0.558189	0	0	0	0	1	0	
