MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
19212	0	0.5	1.2	-0.411755	0.123977	0.461851	1.12451	-0.411755	0	0	0	0	1	0	
19272	0	0.5	1.2	-0.411755	0.123977	0.461851	1.12451	-0.411755	0	0	0	0	1	0	
19301	0	0.5	1.2	-0.411755	0.123977	0.461851	1.12451	-0.411755	0	0	0	0	1	0	
19331	0	0.5	1.2	-0.411755	0.123977	0.461851	1.12451	-0.411755	0	0	0	0	1	0	
19362	0	0.5	1.2	-0.411755	0.123977	0.461851	1.12451	-0.411755	0	0	0	0	1	0	
19392	0	0.5	1.2	-0.411755	0.123977	0.461851	1.12451	-0.411755	0	0	0	0	1	0	
19452	0	0.5	1.2	-0.411755	0.121291	0.477384	1.12442	-0.412661	0	0	0	0	1	0	
19481	0	0.5	1.2	-0.411755	0.121291	0.477384	1.12442	-0.412661	0	0	0	0	1	0	
19512	0	0.5	1.2	-0.411755	0.121291	0.477384	1.12442	-0.412661	0	0	0	0	1	0	
19572	0	0.5	1.2	-0.411755	0.121291	0.477384	1.12442	-0.412661	0	0	0	0	1	0	
19601	0	0.5	1.2	-0.411755	0.121291	0.477384	1.12442	-0.412661	0	0	0	0	1	0	
19632	0	0.5	1.2	-0.411755	0.121291	0.477384	1.12442	-0.412661	0	0	0	0	1	0	
19692	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19721	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19752	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19812	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19841	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19871	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19902	0	0.5	1.2	-0.411755	0.121116	0.48865	1.12397	-0.412621	0	0	0	0	1	0	
19932	0	0.5	1.2	-0.411755	0.121494	0.491873	1.12847	-0.411374	0	0	0	0	1	0	
19992	0	0.5	1.2	-0.411755	0.121494	0.491873	1.12847	-0.411374	0	0	0	0	1	0	
20022	0	0.5	1.2	-0.411755	0.121494	0.491873	1.12847	-0.411374	0	0	0	0	1	0	
20052	0	0.5	1.2	-0.411755	0.121494	0.491873	1.12847	-0.411374	0	0	0	0	1	0	
20112	0	0.5	1.2	-0.411755	0.121494	0.491873	1.12847	-0.411374	0	0	0	0	1	0	
20142	0	0.5	1.2	-0.411755	0.121494	0.491873	1.12847	-0.411374	0	0	0	0	1	0	
20172	0	0.5	1.2	-0.411755	0.121048	0.489491	1.12863	-0.411677	0	0	0	0	1	0	
20202	0	0.5	1.2	-0.411755	0.121048	0.489491	1.12863	-0.411677	0	0	0	0	1	0	
20262	0	0.5	1.2	-0.411755	0.121048	0.489491	1.12863	-0.411677	0	0	0	0	1	0	
20292	0	0.5	1.2	-0.411755	0.121048	0.489491	1.12863	-0.411677	0	0	0	0	1	0	
20352	0	0.5	1.2	-0.411755	0.121048	0.489491	1.12863	-0.411677	0	0	0	0	1	0	
20411	0	0.5	1.2	-0.411755	0.121048	0.489491	1.12863	-0.411677	0	0	0	0	1	0	
20442	0	0.5	1.2	-0.411755	0.121192	0.488245	1.13202	-0.409515	0	0	0	0	1	0	
20472	-0.5	0.5	1.2	-0.411755	0.121192	0.488245	1.13202	-0.409515	0	0	0	0	1	0	
20532	-0.5	0.5	1.2	-0.411755	0.121192	0.488245	1.13202	-0.409515	0	0	0	0	1	0	
20561	-0.5	0.5	1.2	-0.411755	0.121192	0.488245	1.13202	-0.409515	0	0	0	0	1	0	
20592	-0.5	0.5	1.2	-0.411755	0.121192	0.488245	1.13202	-0.409515	0	0	0	0	1	0	
20621	-0.5	0.5	1.2	-0.411755	0.121192	0.488245	1.13202	-0.409515	0	0	0	0	1	0	
20681	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20712	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20741	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20801	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20831	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20862	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20891	-0.5	0.5	1.2	-0.411755	0.118879	0.49389	1.13786	-0.409754	0	0	0	0	1	0	
20952	-0.5	0.5	1.2	-0.411755	0.117992	0.490105	1.13732	-0.406732	0	0	0	0	1	0	
20982	-0.5	0.5	1.2	-0.411755	0.117992	0.490105	1.13732	-0.406732	0	0	0	0	1	0	
21011	-0.5	0.5	1.2	-0.411755	0.117992	0.490105	1.13732	-0.406732	0	0	0	0	1	0	
21072	-0.5	0.5	1.2	-0.411755	0.117992	0.490105	1.13732	-0.406732	0	0	0	0	1	0	
21101	-0.5	0.5	1.2	-0.411755	0.117992	0.490105	1.13732	-0.406732	0	0	0	0	1	0	
21131	-0.5	0.5	1.2	-0.411755	0.117992	0.490105	1.13732	-0.406732	0	0	0	0	1	0	
21191	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21222	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21251	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21282	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21342	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21371	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21402	-0.5	0.5	1.2	-0.411755	0.117254	0.485279	1.13761	-0.409519	0	0	0	0	1	0	
21431	-0.5	0.5	1.2	-0.411755	0.112166	0.482446	1.13494	-0.405616	0	0	0	0	1	0	
21491	-0.5	0.5	1.2	-0.411755	0.112166	0.482446	1.13494	-0.405616	0	0	0	0	1	0	
21522	-0.5	0.5	1.2	-0.411755	0.112166	0.482446	1.13494	-0.405616	0	0	0	0	1	0	
21551	-0.5	0.5	1.2	-0.411755	0.112166	0.482446	1.13494	-0.405616	0	0	0	0	1	0	
21611	-0.5	0.5	1.2	-0.411755	0.112166	0.482446	1.13494	-0.405616	0	0	0	0	1	0	
21642	-0.5	0.5	1.2	-0.411755	0.112166	0.482446	1.13494	-0.405616	0	0	0	0	1	0	
21672	-0.5	0	1.2	-0.411755	0.110596	0.477744	1.13309	-0.406391	0	0	0	0	1	0	
21732	-0.5	0	1.2	-0.411755	0.110596	0.477744	1.13309	-0.406391	-0.1	-0.1	0.1	0	1	0	
21762	-0.5	0	1.2	-0.411755	0.110596	0.477744	1.13309	-0.406391	-0.1	-0.1	0.1	0	1	0	
21791	-0.5	0	1.2	-0.411755	0.110596	0.477744	1.13309	-0.406391	-0.1	-0.1	0.1	0	1	0	
21860	-0.5	0	1.2	-0.411755	0.110596	0.477744	1.13309	-0.406391	-0.1	-0.1	0.1	0	1	0	
21912	-0.5	0	1.2	-0.411755	0.110596	0.477744	1.13309	-0.406391	-0.1	-0.1	0.1	0	1	0	
21941	-0.5	0	1.2	-0.411755	0.111066	0.474543	1.13236	-0.405371	-0.1	-0.1	0.1	0	1	0	
22001	-0.5	0	1.2	-0.411755	0.111066	0.474543	1.13236	-0.405371	-0.1	-0.1	0.1	0	1	0	
22032	-0.5	0	1.2	-0.411755	0.111066	0.474543	1.13236	-0.405371	-0.1	-0.1	0.1	0	1	0	
