MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
7132	0.217629	0.520202	-1.3934	0.0626431	-0.266698	0.219814	0.0310907	0.0442403	0.205216	0.000747089	0.000391361	0.000101588	
7381	0.217698	0.520143	-1.39343	0.0603881	-0.26437	0.217084	0.0310871	0.0442349	0.205128	0.000275526	0.000249076	2.23295e-05	
7632	0.217657	0.520132	-1.39352	0.0586959	-0.264676	0.22164	0.031162	0.0441535	0.205036	0.00050501	3.40377e-05	-0.000107212	
7881	0.217556	0.52087	-1.39362	0.0553651	-0.26363	0.218766	0.0310934	0.0441085	0.204895	0.000727268	0.000158467	-0.000379884	
8131	0.217446	0.520876	-1.39364	0.0497097	-0.267464	0.217188	0.0310913	0.0442263	0.204693	0.000873124	-1.81054e-05	-0.000157389	
8381	0.217582	0.519862	-1.39345	0.0552468	-0.267648	0.217024	0.0310732	0.0442825	0.204547	0.000515397	-0.000316426	-0.000245264	
8632	0.217624	0.520245	-1.39345	0.0576315	-0.268549	0.214682	0.0309489	0.0443866	0.204357	0.000600453	8.7213e-05	-0.00039066	
8881	0.217496	0.520698	-1.3936	0.0618088	-0.266438	0.218181	0.0310596	0.044447	0.204227	0.000632029	-0.000319208	0.000270898	
9131	0.217569	0.520548	-1.39369	0.0659105	-0.269735	0.218319	0.0311644	0.0444423	0.204133	0.000440179	-0.00029625	-2.43249e-05	
9382	0.217456	0.520518	-1.39369	0.0673094	-0.266479	0.218765	0.0311749	0.044447	0.204021	0.000408327	-2.52478e-05	-0.000162337	
9631	0.217518	0.520702	-1.39368	0.0730786	-0.265786	0.219538	0.0313317	0.0444378	0.203924	0.000399776	-0.00029614	0.000113638	
9882	0.217517	0.520124	-1.39358	0.0590963	-0.268257	0.222631	0.0314105	0.0443841	0.203822	0.000250074	-0.00013329	-0.000170661	
10131	0.217413	0.519606	-1.39359	0.0677779	-0.268364	0.218718	0.0312428	0.0442962	0.203705	0.000218231	-0.000247148	0.000156656	
10382	0.217459	0.520467	-1.3936	0.0681071	-0.270028	0.218654	0.0312631	0.0443063	0.203587	0.000322948	-8.61873e-05	-0.000220332	
10632	0.217437	0.520871	-1.39359	0.0773611	-0.264992	0.218366	0.0312129	0.0443544	0.203476	0.000191325	-0.000352081	4.9481e-05	
10881	0.217476	0.521488	-1.39372	0.0603311	-0.265219	0.219958	0.0313776	0.0443626	0.203355	0.000455887	-5.68371e-05	-3.07633e-05	
11132	0.21755	0.521325	-1.3938	0.0591766	-0.271796	0.224507	0.0314112	0.0443649	0.203267	-0.000551186	-0.000713909	-0.000393544	
11386	0.21792	0.521469	-1.39371	0.0563512	-0.29338	0.223971	0.0307202	0.0438622	0.202505	0.000976706	-0.00221629	-0.00571173	
11632	0.216701	0.518112	-1.39412	0.059446	-0.281602	0.21155	0.0292959	0.0433229	0.201445	0.000467339	0.000953963	-0.00255187	
11881	0.216714	0.517437	-1.39477	0.0641939	-0.280268	0.200582	0.0281389	0.0428262	0.199284	0.00139186	0.000331385	-0.0108267	
12132	0.216657	0.517985	-1.3945	0.0697573	-0.27827	0.189907	0.0269671	0.042341	0.197127	-0.00282089	-0.00313811	-0.0111251	
12382	0.216562	0.520915	-1.36718	0.0601463	-0.263923	0.18242	0.0258881	0.0412165	0.193426	-0.00107309	0.000738313	-0.0114621	
12632	0.21716	0.521534	-1.36057	0.0666635	-0.25884	0.176953	0.0245624	0.0399342	0.191299	-0.00486504	0.000347277	-0.0172804	
12882	0.216597	0.521191	-1.35999	0.0445306	-0.231934	0.184448	0.0248909	0.0371659	0.184552	-0.0316682	-0.00705256	-0.0300907	
13132	0.229158	0.529262	-1.37901	-0.124369	-0.181351	0.423062	0.0462412	0.0325235	0.174248	0.0395211	-0.150708	-0.0388237	
13382	0.232625	0.510843	-1.40871	-0.283019	-0.220494	0.569693	0.0613309	0.0366961	0.166522	-0.0256997	-0.0786868	-0.0181753	
13631	0.224623	0.459544	-0.558106	-0.596013	-0.170987	0.507331	0.0569701	0.0333878	-0.214885	0.0177401	0.121619	-0.0210526	
13882	0.183793	0.381577	0.551988	-0.155368	-0.137033	0.0420813	0.00993547	0.0313465	-0.418742	-0.0441819	0.241569	-0.0163849	
14132	0.154129	0.313825	0.989284	0.778085	0.0405115	-0.39623	-0.0350737	0.0121821	-0.420337	-0.0627554	0.085787	0.00372536	
14382	0.110059	0.291025	1.29673	1.12677	0.167714	-0.403791	-0.0367839	-0.002204	-0.415443	-0.0777514	0.0191028	0.0161535	
14631	0.140036	0.243588	1.3115	0.0305739	0.190523	-0.332531	-0.0293067	-0.00403681	-0.415139	0.0289952	-0.0540012	-0.0123621	
14881	0.168005	0.236479	1.10858	-0.384773	-0.0113987	-0.00465189	0.00348382	0.0141457	-0.419461	0.0886633	-0.145572	-0.0186157	
15131	0.162199	0.249808	1.08384	-0.0395305	-0.191697	0.251471	0.0295264	0.0328197	-0.423065	0.042063	-0.0469017	-0.0142573	
15382	0.166574	0.250637	1.08398	0.20462	-0.200968	0.25987	0.0301076	0.0343378	-0.421583	-0.0116237	0.00542585	0.00132423	
15632	0.172895	0.266302	1.09732	0.111437	-0.134356	0.264022	0.0309892	0.0278384	-0.42119	-0.0237734	-0.0218233	0.00014426	
15882	0.178889	0.279685	1.09466	0.0109603	-0.103623	0.252682	0.0298448	0.02473	-0.420822	0.00231009	0.00738188	-0.0145545	
16132	0.167947	0.294082	1.09564	0.0211927	-0.103412	0.258578	0.0303192	0.0246755	-0.4208	0.00153827	-0.00338424	-0.00073575	
16382	0.162866	0.312601	1.09546	0.106104	-0.100588	0.233142	0.0274936	0.0249002	-0.419747	-0.00478634	-0.00249954	-0.00291136	
16632	0.154879	0.327752	1.0991	0.0949081	-0.086194	0.220984	0.0262351	0.0235299	-0.418572	-0.012774	0.0128504	-0.0121631	
16882	0.153791	0.329569	1.10479	0.0695409	-0.0373513	0.144106	0.0184974	0.0183015	-0.417898	-0.0236697	0.0415228	-0.00285548	
17131	0.155915	0.343975	1.10252	0.0769316	-0.000328069	0.098456	0.0138115	0.0142883	-0.416671	-0.00845299	-0.00173266	-0.00488228	
17382	0.156238	0.349252	1.10083	0.0895151	-0.0343184	0.104092	0.0140639	0.0180024	-0.41588	0.0167417	-0.00265817	-0.0145329	
17632	0.160413	0.365258	1.12264	0.0838601	-0.0563694	0.147687	0.0185895	0.0207262	-0.415927	0.00616943	-0.00727863	-0.00617232	
17881	0.156771	0.373771	1.11792	0.0548164	-0.0766122	0.161701	0.0196514	0.021827	-0.415617	0.0178027	-0.00802877	-0.0135952	
18132	0.155264	0.384552	1.11473	0.0519256	-0.143306	0.162784	0.0194405	0.0281131	-0.415151	0.0181998	-0.000294567	-0.010427	
18381	0.16151	0.40769	1.11643	0.0657138	-0.158774	0.173709	0.0204955	0.0299591	-0.414986	0.0101995	-0.00755649	-0.00965821	
18632	0.162417	0.425698	1.12195	0.0704684	-0.155215	0.18976	0.0231239	0.0300036	-0.414853	0.00387304	-0.0169363	-0.0185345	
18882	0.132832	0.447428	1.1232	0.0706741	-0.148548	0.216076	0.0256888	0.0297816	-0.415732	0.00791251	-0.00910281	-0.0120624	
19134	0.123575	0.461837	1.12448	0.0790759	-0.156888	0.189726	0.0230637	0.0302521	-0.415452	-0.00403712	0.0106598	-0.013773	
19381	0.121386	0.477382	1.12438	0.0850806	-0.141634	0.196061	0.0236742	0.0289422	-0.415289	0.00238617	-0.00217314	-0.014437	
19631	0.121143	0.488436	1.12393	0.0714003	-0.102991	0.195523	0.0241892	0.0253255	-0.414719	-0.0164995	-0.00946305	-0.0132845	
19882	0.121593	0.491513	1.12852	0.0581442	-0.0728322	0.199313	0.0250537	0.0220925	-0.41417	-0.0157615	-0.00210198	-0.0116455	
20132	0.121067	0.489089	1.12859	0.071277	-0.0728486	0.190666	0.0244389	0.0226943	-0.414082	0.00615658	0.00408961	-0.014554	
20382	0.121235	0.488188	1.13203	0.0694941	-0.0830274	0.182969	0.0232785	0.0238873	-0.413249	0.0111994	0.00731871	-0.00812693	
20631	0.118866	0.493902	1.13791	0.0620234	-0.114513	0.164748	0.0215416	0.0267978	-0.411712	0.00838221	-0.00132479	-0.0152268	
20882	0.117992	0.490044	1.1373	0.0676974	-0.139912	0.162136	0.0214794	0.0299827	-0.4106	0.0131066	0.0119147	-0.00679338	
21131	0.117254	0.485279	1.13761	0.0542551	-0.163467	0.14227	0.01994	0.032001	-0.409519	0.00497139	-0.00350311	-0.015082	
21381	0.111934	0.482346	1.13486	0.0500708	-0.166612	0.150514	0.0206399	0.0319758	-0.408828	0.00946129	0.000944566	-0.0109073	
21633	0.110597	0.477729	1.13308	0.073007	-0.193659	0.15492	0.0212588	0.0347698	-0.408289	0.00191613	-0.00387026	-0.0174179	
21884	0.111072	0.474536	1.13236	0.0782242	-0.140846	0.144819	0.0202207	0.0296696	-0.407556	-0.073376	-0.000359387	-0.0141709	
22133	0.110319	0.471511	1.13255	0.0414974	0.0525868	0.162442	0.0223622	0.00947889	-0.407523	-0.0439484	-0.0132137	-0.0164645	
22381	0.0820012	0.475474	1.18359	0.0423455	0.0808081	0.223891	0.0281801	0.00634567	-0.407501	0.0302976	0.00762665	-0.0196901	
22632	0.0752563	0.453648	1.18478	0.0557959	0.0305511	0.230818	0.0283271	0.0119349	-0.407506	-0.0255413	-0.0391761	-0.0131849	
22882	0.0608282	0.450318	1.17433	0.0737382	-0.112433	0.167409	0.0211342	0.026866	-0.406839	0.0257817	0.0221927	-0.0121744	
23131	0.0573153	0.447409	1.18829	0.0574137	-0.0345697	0.233508	0.0272658	0.0194255	-0.405737	-0.00904208	-0.00379093	-0.0136757	
23382	0.0426073	0.437149	1.21623	0.0804067	-0.0833712	0.200422	0.0229355	0.0239205	-0.404451	0.0455531	0.0184817	-0.0112528	
23631	0.0230112	0.421537	1.24195	0.0914343	-0.170217	0.110747	0.0147878	0.0324157	-0.403029	-0.0133181	0.015181	-0.00915212	
23882	0.0183086	0.413941	1.2663	0.126959	-0.0665173	0.172124	0.0201894	0.0222482	-0.401473	0.0119191	0.0186035	-0.00954601	
24132	0.00481075	0.401254	1.27457	0.0961539	-0.0859019	0.158175	0.0188043	0.0236425	-0.399716	-0.0455009	-0.0405653	-0.011164	
24381	-0.00726441	0.391803	1.26992	0.0687806	-0.0554453	0.173076	0.0207534	0.0207191	-0.397978	0.0257241	0.015654	-0.0085217	
24631	-0.0113447	0.379928	1.25117	0.0589532	-0.00672861	0.246186	0.0272642	0.0152933	-0.394654	-0.00808766	-0.074288	-0.00230586	
24882	-0.0352072	0.372486	1.23777	0.0412751	-0.133232	0.455682	0.0487414	0.0285105	-0.392474	0.0955671	-0.0758857	-0.00977017	
25132	-0.0337421	0.351696	1.23761	0.0409012	-0.282647	0.484402	0.0525304	0.0442465	-0.391307	0.0754588	0.00261478	-0.0146148	
25381	-0.0683628	0.310676	1.21879	0.0467477	-0.418366	0.429996	0.0474076	0.0593482	-0.390587	0.0780754	0.0246386	-0.0163543	
25631	-0.0815798	0.241777	1.20839	0.0748479	-0.366391	0.313098	0.0367068	0.0541807	-0.390023	-0.130445	0.00545235	-0.0211185	
25881	-0.0967945	0.153998	1.20999	0.0629959	-0.0778619	0.280245	0.0338954	0.0255629	-0.391525	-0.102172	-0.00605982	-0.0232705	
26132	-0.106571	0.0868054	1.21711	0.0623429	0.194859	0.385838	0.0449045	-0.00142013	-0.392844	-0.0737566	-0.0522061	-0.0252463	
26381	-0.117932	-0.0220279	1.22673	0.0864867	0.255646	0.467545	0.0529108	-0.00752308	-0.395257	-0.0575876	-0.0400712	-0.030157	
26632	-0.116885	-0.135721	1.21966	0.0736961	0.314725	0.511657	0.0553982	-0.0124914	-0.396472	0.0443676	0.0435333	-0.0170299	
26882	-0.111421	-0.305769	1.16809	0.0576134	0.166615	0.0817666	0.0114134	0.00326813	-0.397332	0.0513314	0.270673	-0.0241225	
27132	-0.167415	-0.417118	1.12677	0.0350432	-0.0066652	-0.386415	-0.0378973	0.0205549	-0.395756	0.0319776	0.192096	-0.0135179	
27382	-0.215833	-0.507102	1.08295	0.0109037	-0.201154	-0.571287	-0.0567792	0.0384714	-0.393845	0.115692	0.0588944	-0.0112886	
27632	-0.24475	-0.55479	1.09814	0.0437384	-0.264183	-0.473379	-0.0456866	0.0422798	-0.391634	-0.0894086	-0.0520374	-0.00799104	
27882	-0.262362	-0.577764	1.11418	0.0951853	-0.108828	0.0287318	0.00522744	0.023557	-0.389804	-0.00228917	-0.203241	-0.0104854	
28132	-0.280703	-0.578531	1.12086	0.0665747	-0.0731495	0.207893	0.0244667	0.0199205	-0.38869	-0.00628808	-0.0206219	-0.0189533	
28382	-0.313021	-0.536826	1.13079	0.0391486	-0.0474014	0.165249	0.0203629	0.0166806	-0.387581	-0.0121473	0.0113357	-0.0174582	
28632	-0.323003	-0.52091	1.14095	0.0305464	-0.00257271	0.11608	0.0154928	0.0121308	-0.386833	-0.0302693	0.010436	-0.0178557	
28882	-0.33049	-0.493897	1.14984	0.0384863	-0.00473953	0.128593	0.01681	0.0122975	-0.385824	0.0124645	-0.00195372	-0.021942	
29131	-0.336444	-0.475552	1.15509	0.056053	0.0158965	0.0425908	0.00741033	0.00919336	-0.384905	-0.0356551	0.0136012	-0.0229603	
29381	-0.390082	-0.412219	1.19975	0.103087	0.0818174	0.137971	0.0181518	0.00248656	-0.384365	-0.0115739	-0.0831486	-0.0244748	
29632	-0.412709	-0.378947	1.19998	0.0922775	0.0620243	0.256728	0.0298165	0.00419054	-0.384751	0.00568072	-0.0417676	-0.030424	
29881	-0.508681	-0.316457	1.18972	0.0607789	-0.0310032	0.324775	0.0359748	0.0136897	-0.385979	0.0926656	-0.0578279	-0.0257229	
30131	-0.608286	-0.269849	1.19458	0.0889658	-0.264575	0.304092	0.0335009	0.0378995	-0.385577	0.0434938	0.0705858	-0.0287136	
30382	-0.661676	-0.250638	1.17813	-0.00119019	-0.557626	0.180861	0.0217016	0.0691386	-0.387753	0.202161	0.0315231	-0.0454406	
30631	-0.72231	-0.246797	1.17227	0.0361975	-0.833275	-0.0321584	0.0010491	0.0975875	-0.39117	0.0928489	0.126104	-0.0496819	
30881	-0.746678	-0.243029	1.17916	0.0478486	-0.454831	-0.139906	-0.00728029	0.0579744	-0.392131	-0.165592	-0.00683692	-0.0309872	
31132	-0.755975	-0.219139	1.19198	0.045915	-0.318597	-0.188927	-0.0116093	0.0436956	-0.392258	-0.0213272	-0.00987016	-0.0314012	
31381	-0.738879	-0.199291	1.20116	0.0487268	-0.306537	-0.172737	-0.00915854	0.042313	-0.392601	-0.0462555	-0.0564902	-0.0285413	
31632	-0.720631	-0.166358	1.20883	0.0907418	-0.243332	-0.0278889	0.00562495	0.0359609	-0.391727	0.010265	0.0227748	-0.0238858	
31882	-0.68642	-0.150282	1.21717	0.151882	-0.0637512	0.0503602	0.0132813	0.0179331	-0.387958	-0.0581002	-0.0373393	-0.00915373	
32131	-0.631978	-0.148065	1.2373	0.141809	-0.0924783	-0.0945604	-0.000327695	0.020389	-0.383865	0.0439802	0.142382	-0.020732	
32382	-0.579837	-0.115707	1.23013	0.0698014	-0.125007	-0.149309	-0.00681463	0.023563	-0.382069	-0.0261515	-0.0315463	-0.0307838	
32631	-0.550243	-0.0836533	1.20446	0.00550769	-0.186824	-0.0478091	0.00362352	0.0292087	-0.383089	-0.0396776	-0.183317	-0.0297475	
32882	-0.513734	-0.0554431	1.17836	-0.0223662	-0.0711641	0.416844	0.0506122	0.0179762	-0.38447	-0.0245102	-0.11921	-0.0331977	
33133	-0.493382	-0.0308249	1.1754	0.00470267	-0.123128	0.306085	0.0381638	0.0250616	-0.384357	0.021372	0.096972	-0.0341178	
33381	-0.491653	-0.00531343	1.17414	0.0343914	-0.143527	0.103474	0.0174767	0.0273671	-0.384178	0.0027141	0.0568701	-0.0279868	
